id	form	Dutch	English	Indonesian
122/123	foeroeroe	haar <unsp.>		
139/140	māāniha	dromen, droom <unsp.>		
243/244	èmanī	mannelijk <unsp.>		
245/246	èhōda	vrouwelijk <unsp.>		
248/249	foinana(k), po(k)inamok	maagd, maagdom <unsp.>		
257/258	èara	kind <unsp.>		
270/271	èāāk	oudere broeder, zuster <unsp.>		
272/273	èhai(k)	jongere broeder, zuster <unsp.>		
275/276	kahaoewĕ	oom <unsp.>		
281/282	kahaoewĕ	tante <unsp.>		
287-294	èlahŏ, èara kahaoewĕ	neef, nicht <unsp.>		
343/344	ĕhĕla	ziel, geest (v.e. levende, v.e. dode) <unsp.>		
407/408	palahiboewĕ	huwen <unsp.> huwelijk		
441/442	ko(k)èko(k), anèka, èkèo(k)	dakbedekking <unsp.>		
443/444	kinŏnŏ	dakbedekking sirap <unsp.>		
456/457	emenaha	vloer <unsp.>		
458/459	èoekoe(k), piefie	omwanding <unsp.>		
472/473	èoko ĕ	zolder, zolderrek <unsp.>		
525-527	pahaboehă	koken <unsp.>		
539/540	hèla	vlees <unsp. >		
544/545	èara kihŏ	rijst (gepelde rauwe rijst, gekookte rijst) <unsp.>		
579/580	kariha oewapŏ	band of ring < unsp.>		
605/606	èoba kamakŏ	tas of zak <unsp.>		
662/663	èbaka pieĕ, èofoeè	zaaien <unsp.>		
671/672	māājòk, bahèlè	oogsten <unsp.>		
716-718	èietŏ	pisang <unsp.>		
739/740	èko(k), èafodiĕ, èkoena	tak <unsp.>		
742-744	èba	wortel <unsp.>		
1017/1018	fèfèja(k)ĕ, èèhandie	lenen <unsp.>		
1026-1028	èŏkŏĕ, èfakoe	maten en gewichten <unsp.>		
1029/1030	kafal, kapal	schip <unsp.>		
1072-1074	èo	ver <unsp.>		
1083/1084	aīĕjanoe(k), èno(k)	diep <unsp.>		
1085/1086	kafèfè, kaaukie	ondiep <unspec.>		
1104/1105	kohorijo, kaīdahandĕ	warm <unsp.>		
1106/1107	èèho, kaäfoeā	koud <unsp.>		
1109/1110	kaboeĕboeĕ	rond <unsp.>		
1132/1134	kāoewa			
1136/1138	kiŏhā			
1146/1147	eò(k)o(k), pamiere, fakaafie, koinŏnā	vast <unsp.>		
1148/1149	kĕmoja(k), kifèora(k)	los <unsp.>		
1222-1224	wakahadŏ, ŏmŏ, ŏmŏkie, kèaba baoeŏ	(be)waken <unsp.>		
1242-1244	kàhafie	wensen, willen, iets willen <unsp.>		
1260/1261	pèladieĕ, kifĕhbai	beginnen <unsp.>		
1262/1263	aboehŏ, hōda hōda	eindigen <unsp.>		
1265/1266	pienoekak, fakieoe, pakoeoe, karohajĕ, pakè èbŏ	verbergen, zich verbergen <unsp.>		
1276/1277	kakiho(k)	verbranden (overg.) branden (onoverg.) <unsp.>		
1330/1331	nè(k)è	de eerste <unsp.>		
1332/1333	ija adoewĕ	de tweede <unsp.>		
1336/1337	akakanoe, hokèora(k)	de laatste <unsp.>		
1347/1348	hiakikĕ, ma(k)aki(k)	meer, meest <unsp.>		
1364/1367/1368	kija	zij <unsp.>		
1369/1370	èai	mijn <unsp.>		
1373/1374	èaiboe	uw <unsp.>		
1375/1376	èaioe	hun <unsp.>		
1377/1378	èaioe	haar, zijn <unsp.>		
1385/1386	itèk, èana	die <unsp.>		
1412/1413	pabaka, oeakanroe, baoeloe, aoeloe	voor <unsp.>		
1442/1443	koelie-hŏako(k)	van-tot <unsp.>		
1473-1475	ijara(k)	niet <unsp.>		
41/42	dadå	borsten < unsp. >		
122/123	poeroeroe	haar <unsp.>		
