originals	tokenized	transliterated
kărāhā	k ă r ā h ā	k ᾰ r aː h aː
koedŏdŏkŏ	k oe d ŏ d ŏ k ŏ	k u d ɔ d ɔ k ɔ
èoeloe	è oe l oe	ɛ u l u
èoedoe	è oe d oe	ɛ u d u
èbaka	è b a k a	ɛ b a k a
èkoe(k)	è k oe (k)	ɛ k u ʔ
èaoeloe	è a oe l oe	ɛ a u l u
poeroeroe èoeloe	p oe r oe r oe + è oe l oe	p u r u r u + ɛ u l u
kèlĕkèlĕ poeĕkā	k è l ĕ k è l ĕ + p oe ĕ k ā	k ɛ l ə k ɛ l ə + p u ə k aː
kariehā	k a r ie h ā	k a r i ç aː
kaliehĕ	k a l ie h ĕ	k a l i ç ə
èbaka	è b a k a	ɛ b a k a
koepènobaka	k oe p è n o b a k a	k u p ɛ n ɔ b a k a
bèbaka	b è b a k a	b ɛ b a k a
èfanoe	è f a n oe	ɛ f a n u
èpanoe	è p a n oe	ɛ p a n u
èfāfā	è f ā f ā	ɛ f aː f aː
èkāā	è k āā	ɛ k aː
koelīfŏ	k oe l ī f ŏ	k u l iː f ɔ
pārŏrīpŏ	p ā r ŏ r ī p ŏ	p aː r ɔ r iː p ɔ
parŏrīpŏ	p a r ŏ r ī p ŏ	p a r ɔ r iː p ɔ
èki(k)	è k i (k)	ɛ k i ʔ
fārŏrīfŏ	f ā r ŏ r ī f ŏ	f aː r ɔ r iː f ɔ
èlieŏ	è l ie ŏ	ɛ l i ɔ
èdieŏ	è d ie ŏ	ɛ d i ɔ
kinoe-oeka	k i n oe - oe k a	k i n u - u k a
nienie	n ie n ie	n i n i
nienie	n ie n ie	n i n i
kĕmoekā(k)	k ĕ m oe k ā (k)	k ə m u k aː ʔ
kīnoeoekă	k ī n oe oe k ă	k iː n u u k ᾰ
ehanoe(k)	e h a n oe (k)	e h a n u ʔ
èokahaĕ	è o k a h a ĕ	ɛ ɔ k a h a ə
èămah	è ă m a h	ɛ ᾰ m a h
èkŏkŏ(k)	è k ŏ k ŏ (k)	ɛ k ɔ k ɔ ʔ
èkŏkŏ(k)	è k ŏ k ŏ (k)	ɛ k ɔ k ɔ ʔ
bèkŏkŏ(k)	b è k ŏ k ŏ (k)	b ɛ k ɔ k ɔ ʔ
bèkŏkŏ(k)	b è k ŏ k ŏ (k)	b ɛ k ɔ k ɔ ʔ
pākŏkŏ(k)	p ā k ŏ k ŏ (k)	p aː k ɔ k ɔ ʔ
kaporiĕ	k a p o r i ĕ	k a p ɔ r i ə
eà oekoe	e à + oe k oe	e a + u k u
bŏbŏ	b ŏ b ŏ	b ɔ b ɔ
èbākoe	è b ā k oe	ɛ b aː k u
fèkoe(k)	f è k oe (k)	f ɛ k u ʔ
pèkoe(k)	p è k oe (k)	p ɛ k u ʔ
èkiedai	è k ie d a i	ɛ k i d a i
kèma	k è m a	k ɛ m a
èfoekĕ	è f oe k ĕ	ɛ f u k ə
èfoekĕ	è f oe k ĕ	ɛ f u k ə
èkahāe	è k a h ā e	ɛ k a h aː e
hahapaoe	h a h a p a oe	h a h a p a u
kèkĕ	k è k ĕ	k ɛ k ə
èhokai	è h o k a i	ɛ h ɔ k a i
èhokai	è h o k a i	ɛ h ɔ k a i
