originals	tokenized	transliterated
kărāhā	k ă r ā h ā	k ă r a a h a a
koedŏdŏkŏ	k oe d ŏ d ŏ k ŏ	k u d O d O k O
èoeloe	è oe l oe	E u l u
èoedoe	è oe d oe	E u d u
èbaka	è b a k a	E b a k a
èkoe(k)	è k oe (k)	E k u '
èaoeloe	è a oe l oe	E a u l u
poeroeroe èoeloe	p oe r oe r oe + è oe l oe	p u r u r u + E u l u
kèlĕkèlĕ poeĕkā	k è l ĕ k è l ĕ + p oe ĕ k ā	k E l ė k E l ė + p u ė k a a
kariehā	k a r ie h ā	k a r i x a a
kaliehĕ	k a l ie h ĕ	k a l i x ė
èbaka	è b a k a	E b a k a
koepènobaka	k oe p è n o b a k a	k u p E n O b a k a
bèbaka	b è b a k a	b E b a k a
èfanoe	è f a n oe	E f a n u
èpanoe	è p a n oe	E p a n u
èfāfā	è f ā f ā	E f a a f a a
èkāā	è k āā	E k a a
koelīfŏ	k oe l ī f ŏ	k u l i i f O
pārŏrīpŏ	p ā r ŏ r ī p ŏ	p a a r O r i i p O
parŏrīpŏ	p a r ŏ r ī p ŏ	p a r O r i i p O
èki(k)	è k i (k)	E k i '
fārŏrīfŏ	f ā r ŏ r ī f ŏ	f a a r O r i i f O
èlieŏ	è l ie ŏ	E l i O
èdieŏ	è d ie ŏ	E d i O
kinoe-oeka	k i n oe - oe k a	k i n u - u k a
nienie	n ie n ie	n i n i
nienie	n ie n ie	n i n i
kĕmoekā(k)	k ĕ m oe k ā (k)	k ė m u k a a '
kīnoeoekă	k ī n oe oe k ă	k i i n u u k ă
ehanoe(k)	e h a n oe (k)	e h a n u '
èokahaĕ	è o k a h a ĕ	E O k a h a ė
èămah	è ă m a h	E ă m a h
èkŏkŏ(k)	è k ŏ k ŏ (k)	E k O k O '
èkŏkŏ(k)	è k ŏ k ŏ (k)	E k O k O '
bèkŏkŏ(k)	b è k ŏ k ŏ (k)	b E k O k O '
bèkŏkŏ(k)	b è k ŏ k ŏ (k)	b E k O k O '
pākŏkŏ(k)	p ā k ŏ k ŏ (k)	p a a k O k O '
kaporiĕ	k a p o r i ĕ	k a p O r i ė
eà oekoe	e à + oe k oe	e a + u k u
bŏbŏ	b ŏ b ŏ	b O b O
èbākoe	è b ā k oe	E b a a k u
fèkoe(k)	f è k oe (k)	f E k u '
pèkoe(k)	p è k oe (k)	p E k u '
èkiedai	è k ie d a i	E k i d a i
kèma	k è m a	k E m a
èfoekĕ	è f oe k ĕ	E f u k ė
èfoekĕ	è f oe k ĕ	E f u k ė
èkahāe	è k a h ā e	E k a h a a e
hahapaoe	h a h a p a oe	h a h a p a u
kèkĕ	k è k ĕ	k E k ė
èhokai	è h o k a i	E h O k a i
èhokai	è h o k a i	E h O k a i
poeri(k)	p oe r i (k)	p u r i '
jo(k)	j o (k)	y O '
