originals	tokenized	transliterated
kikŏba	k i k ŏ b a	k i k O b a
èfoè	è f o è	E f O E
èhoenè	è h oe n è	E h u n E
konīnī	k o n ī n ī	k O n i i n i i
kija'kki?	k i j a ' k k i ?	k i y a ' k k i ?
pāfĕĕ	p ā f ĕĕ	p a a f ė ė
èhèkoe	è h è k oe	E h E k u
nèneg	n è n e g	n E n e g
èdoboe naafoeaka(k) (tjoetjoe)	è d o b oe + n aa f oe a k a (k) + ( tj oe tj oe )	E d O b u + n a a f u a k a ' + ( c u c u )
kakèbara	k a k è b a r a	k a k E b a r a
kakèlabaĕ	k a k è l a b a ĕ	k a k E l a b a ė
ama	a m a	a m a
naè	n a è	n a E
adōhè	a d ō h è	a d o o h E
poefoea(k)	p oe f oe a (k)	p u f u a '
pakamai	p a k a m a i	p a k a m a i
fakamai	f a k a m a i	f a k a m a i
kaoekaoe	k a oe k a oe	k a u k a u
fedjie kiēēbārā	f e dj ie + k iēē b ā r ā	f e j i + k i e e b a a r a a
fedjie kikoedŏtiĕ	f e dj ie + k i k oe d ŏ t i ĕ	f e j i + k i k u d O t i ė
è oenèkè	è + oe n è k è	E + u n E k E
kidĕdieĕ	k i d ĕ d ie ĕ	k i d ė d i ė
èŏnŏnie	è ŏ n ŏ n ie	E O n O n i
èoenèkè	è oe n è k è	E u n E k E
oraj	o r a j	O r a y
kioedŏ	k i oe d ŏ	k i u d O
pĕkak	p ĕ k a k	p ė k a k
enoho(k)	e n o h o (k)	e n O h O '
kanīkīn	k a n ī k ī n	k a n i i k i i n
kārăhā(k)	k ā r ă h ā (k)	k a a r ă h a a '
èhoroe	è h o r oe	E h O r u
èjobĕ	è j o b ĕ	E y O b ė
èpāha	è p ā h a	E p a a h a
èpīdjoe	è p ī dj oe	E p i i j u
ènŏnŏ?	è n ŏ n ŏ ?	E n O n O ?
èanèk	è a n è k	E a n E k
kabŏ	k a b ŏ	k a b O
foekĕ foekĕ	f oe k ĕ + f oe k ĕ	f u k ė + f u k ė
koema(k)au	k oe m a (k) a u	k u m a ' a u
karăpīpī	k a r ă p ī p ī	k a r ă p i i p i i
èoefoe(k)ĕ	è oe f oe (k) ĕ	E u f u ' ė
ĕfīfī	ĕ f ī f ī	ė f i i f i i
èkāhā	è k ā h ā	E k a a h a a
paroeoekā	p a r oe oe k ā	p a r u u k a a
èkaihonŏa	è k a i h o n ŏ a	E k a i x O n O a
làfoe(k)	l à f oe (k)	l a f u '
mananiloe	m a n a n i l oe	m a n a n i l u
èaniloe	è a n i l oe	E a n i l u
koetjiŏ	k oe tj i ŏ	k u c i O
karŏkŏ	k a r ŏ k ŏ	k a r O k O
kapoehĕ	k a p oe h ĕ	k a p u h ė
èloe(k)	è l oe (k)	E l u '
bèhŏa	b è h ŏ a	b E h O a
hiŏbā	h i ŏ b ā	h i O b a a
bèlŏā	b è l ŏ ā	b E l O a a
èakĕfidja	è a k ĕ f i dj a	E a k ė f i j a
igigja?	i g i g j a ?	i g i g y a ?
èafa(k)	è a f a (k)	E a f a '
fanakonĕ	f a n a k o n ĕ	f a n a k O n ė
aea ka baikoā	a e a + k a + b a i k o ā	a e a + k a + b a i k O a a
hŏmanika	h ŏ m a n i k a	h O m a n i k a
lapawanihŏ	l a p a w a n i h ŏ	l a p a w a n i x O
baidji ninie	b a i dj i + n i n ie	b a i j i + n i n i
akoeloepo(k)	a k oe l oe p o (k)	a k u l u p O '
afapo(k)	a f a p o (k)	a f a p O '
boedàjak	b oe d à j a k	b u d a y a k
lafamanoe manoe	l a f a m a n oe + m a n oe	l a f a m a n u + m a n u
parohajo	p a r o h a j o	p a r O h a y O
apoi	a p o i	a p O i
lapamahoema	l a p a m a h oe m a	l a p a m a h u m a
lapabaheibā	l a p a b a h e i b ā	l a p a b a h e i b a a
kakanokowā	k a k a n o k o w ā	k a k a n O k O w a a
koahjĕ kafŏ	k o a h j ĕ + k a f ŏ	k O a h y ė + k a f O
kahainoafè	k a h a i n o a f è	k a h a i n O a f E
kikiāfè	k i k i ā f è	k i k i a a f E
karoiĕ	k a r o i ĕ	k a r O i ė
dididiki(k)	d i d i d i k i (k)	d i d i d i k i '
hèoapo	h è o a p o	h E O a p O
pana	p a n a	p a n a
panakonĕ	p a n a k o n ĕ	p a n a k O n ė
